id,language,Sentence,Score,
115,eng,Thanks for having explained to me at last why people take me for an idiot.,1.2,
116,eng,That wasn't my intention.,3.6,
117,eng,Thanks for your explanation.,3.5,
118,eng,"Theoretically, I'm doing math.",2.9,
119,eng,If you didn't know me that way then you simply didn't know me.,4.3,
120,eng,It almost scared me not to see you online for a whole day.,3.7,
121,eng,I don't know what you mean.,2.5,
122,eng,My computer has got to be useful for something.,3.5,
123,eng,You wanted to tell me about freedom?,4.6,
124,eng,"Uh, now it's really weird...",1,
125,eng,"If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.",4.2,
126,eng,One can't expect everything from schools.,4.8,
127,eng,There are many words that I don't understand.,4.2,
128,eng,I don't like it when mathematicians who know much more than I do can't express themselves explicitly.,4.8,
129,eng,You're really not stupid.,3.7,
130,eng,I need to ask you a silly question.,2.1,
131,eng,"I don't know how to demonstrate it, since it's too obvious!",4,
132,eng,"I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia.",3.7,
133,eng,Can it be phrased in another way?,3.4,
134,eng,No one will know.,4.9,
135,eng,"I found a solution, but I found it so fast that it can't be the right solution.",1.9,
136,eng,It seems interesting to me.,2.7,
137,eng,"Except that here, it's not so simple.",3.2,
138,eng,I like candlelight.,4.7,
139,eng,What did you answer?,3,
140,eng,"No, he's not my new boyfriend.",4.8,
141,eng,It's too bad that I don't need to lose weight.,2.4,
142,eng,You never have class or what?!,2.8,
143,eng,I will play Sudoku then instead of continuing to bother you.,1.3,
144,eng,Where is the problem?,3.3,
145,eng,I can only wait.,2.3,
146,eng,"It's not much of a surprise, is it?",2.8,
147,eng,I love you.,5,
148,eng,I don't like you anymore.,5,
149,eng,I am curious.,5,
150,eng,Congratulations!,5,
151,eng,I don't want to wait that long.,4.1,
152,eng,Why don't you come visit us?,2.7,
153,eng,But the possibility seems unlikely.,3.4,
154,eng,I shouldn't have logged off.,4.9,
155,eng,I don't know what to do anymore.,2.3,
156,eng,"It is inevitable that I go to France someday, I just don't know when.",3.6,
157,eng,I hate chemistry.,5,
158,eng,I didn't want this to happen.,4,
159,eng,You can probably guess what happens though.,3.3,
160,eng,"Next thing you know, you'll be in the papers.",4.7,
161,eng,What other options do I have?,2.5,
162,eng,I am not much of a traveller.,3.6,
163,eng,I have nothing better to do.,2.3,
164,eng,I can't explain it either.,2.7,
165,eng,Everyone has strengths and weaknesses.,5,
166,eng,"Seriously though, episode 21 made me almost cry while laughing.",4.7,
167,eng,It only shows you're not a robot.,4.1,
168,eng,How could I be a robot? Robots don't dream.,4.7,
169,eng,It's not something anyone can do.,4,
170,eng,I don't know if I still have it.,1.8,
171,eng,What do you think I've been doing?,2.4,
172,eng,Don't underestimate my power.,5,
173,eng,My mom doesn't speak English very well.,4.3,
174,eng,I don't speak French well enough!,1.7,
175,eng,I was wondering if you were going to show up today.,2.8,
176,eng,Therein lies the problem.,4.1,
177,eng,How do you find food in outer space?,2.5,
178,eng,All you can do is trust one another.,3.8,
179,eng,Everyone wants to meet you. You're famous!,4.9,
180,eng,Why are you sorry for something you haven't done?,3.6,
181,eng,I utterly despise formal writing!,4.3,
182,eng,Foreign people intrigue me.,5,
183,eng,"Whatever I do, she says I can do better.",4.3,
184,eng,What keeps you up so late?,2.8,
185,eng,You'd be surprised what you can learn in a week.,4.3,
186,eng,I don't have anyone who'd travel with me.,1.6,
187,eng,You're not fast enough.,5,
188,eng,"Life is hard, but I am harder.",5,
189,eng,Bearing can be unbearable.,4.6,
190,eng,Stop it! You're making her feel uncomfortable!,4.9,
191,eng,Nothing is beautiful but the truth.,4.9,
192,eng,"Tomorrow, he will land on the moon.",5,
193,eng,I don't speak Japanese.,5,
194,eng,This is a pun.,5,
195,eng,Nobody understands me.,1.4,
196,eng,I learned to live without her.,2.4,
197,eng,It's useless to keep on thinking any more.,1.7,
198,eng,I have too many things on my mind these days.,2.1,
199,eng,I just wanted to check my email.,2.1,
200,eng,Do you really need to ask the question to know the answer?,2.8,
201,eng,You can't expect me to always think of everything!,3.4,
202,eng,"I suppose that behind each thing we have to do, there's something we want to do...",2.3,
203,eng,You really don't have the right priorities!,4.6,
204,eng,Don't expect others to think for you!,4.7,
205,eng,You never have time for important things!,4.8,
206,eng,It's no use pretending to make me believe that I believe things you don't believe!,1.9,
207,eng,It would take me too much time to explain to you why it's not going to work.,3.4,
208,eng,I'm so dumb... I'm trying to explain things to you that I don't understand myself.,1,
209,eng,"Stop seeing me as a ""normal"" person!",3.8,
210,eng,Are you referring to me?,2.7,
211,eng,"There will always be things I will never learn, I don't have eternity before me!",2.3,
212,eng,It can't be!,4.9,
213,eng,"I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.",2.2,
214,eng,A rolling stone gathers no moss is a proverb.,4.9,
215,eng,Would you like something to drink?,2.8,
216,eng,"Who is it? ""It's your mother.""",4.3,
217,eng,When will you be back?,2,
218,eng,What's the matter?,2.8,
219,eng,What's going on in the cave? I'm curious.,3.1,
220,eng,"We must learn to live together as brothers, or we will perish together as fools.",4.8,
221,eng,Uh... How's that working?,1.8,
222,eng,"To tell you the truth, I am scared of heights.",2.1,
223,eng,Trust me,5,
224,eng,This is what I was looking for!,5,
225,eng,This looks pretty interesting,4.5,
226,eng,Their communication may be much more complex than we thought.,2.6,
227,eng,The phone is ringing.,5,
228,eng,That's very nice of you,4.4,
229,eng,Thank you for helping me.,4.5,
230,eng,Someday I'll run like the wind.,4.2,
231,eng,She likes music.,5,
232,eng,Please don't cry.,3.6,
233,eng,Let me know if there is anything I can do.,3.9,
234,eng,It may be that the happiness awaiting us is not at all the sort of happiness we would want.,2.3,
235,eng,It is up to you to decide whether we will go there or not.,2,
236,eng,Class doesn't begin until eight-thirty.,4.9,
237,eng,I want a boat that will take me far away from here.,1.7,
238,eng,I feel like playing cards.,4.1,
239,eng,Haven't we met somewhere before?,3.7,
240,eng,A Japanese would never do such a thing.,5,
241,eng,Allen is a poet.,5,
242,eng,The archer killed the deer.,5,
243,eng,Communism will never be reached in my lifetime.,5,
244,eng,Rye was called the grain of poverty.,4.7,
245,eng,"In the 1950's, the Finns were cited as having one of the least healthy diets in the world.",4.3,
246,eng,"If you see a mistake, then please correct it.",2.6,
247,eng,Place the deck of cards on the oaken table.,4.5,
248,eng,The Germans are very crafty.,4.7,
249,eng,"If you don't eat, you die.",5,
250,eng,"How do you spell ""pretty""?",2.1,
251,eng,Why don't we go home?,2,
252,eng,"I'm sorry, I can't stay long.",1.9,
253,eng,Ten years is a long time to wait.,3.9,
254,eng,Why aren't you going?,2.4,
255,eng,One million people lost their lives in the war.,4.2,
256,eng,It is not rare at all to live over ninety years.,4.4,
257,eng,"First, I'm going to do an outline of my new website.",4.8,
258,eng,"Democracy is the worst form of government, except all the others that have been tried.",4.7,
259,eng,"When you're beginning to look like the photo in your passport, you should go on a holiday.",4.7,
260,eng,"It wasn't me, commissioner!",4.9,
261,eng,"Oh, my white pants! And they were new.",2.4,
262,eng,With so many people around he naturally became a bit nervous.,4.2,
263,eng,"When I left the train station, I saw a man.",4.9,
264,eng,You're an angel!,5,
265,eng,People from Madrid are weird.,5,
266,eng,"Well, the night is quite long, isn't it?",2.7,
267,eng,You're lucky because he didn't bite you.,4.2,
268,eng,Did you miss me?,2.7,
269,eng,Are they all the same?,2.8,
270,eng,Thank you very much!,4,
271,eng,"Where are the eggs, please?",2.5,
272,eng,I'll take him.,4.5,
273,eng,It's a surprise.,5,
274,eng,That's a good idea!,5,
275,eng,Round trip? Only one-way.,4.1,
276,eng,It's a pity when somebody dies.,3.9,
277,eng,They were left speechless.,4.2,
278,eng,Damn! It's not bad!,4.3,
279,eng,Pull into shape after washing.,4.6,
280,eng,Wash before first wearing.,4.7,
281,eng,Don't open before the train stops.,4.8,
282,eng,Those who live in glass houses should not throw stones.,4.9,
283,eng,They say love is blind.,3.4,
284,eng,"Oh, I'm sorry.",2.4,
285,eng,"Math is like love: a simple idea, but it can get complicated.",4.5,
286,eng,The only useful answers are those that raise new questions.,4.9,
287,eng,To have doubts about oneself is the first sign of intelligence.,4.7,
288,eng,"Poor is not the one who has too little, but the one who wants too much.",5,
289,eng,"Seeing that you're not surprised, I think you must have known.",3.2,
290,eng,How long does it take to get to the station?,2.8,
291,eng,This will be a good souvenir of my trip around the United States.,3.6,
292,eng,Excuse me; allow me to point out three errors in the above article.,3.4,
293,eng,"It is difficult to keep up a conversation with someone who only says ""yes"" and ""no"".",4.6,
294,eng,Do you speak Italian?,2.8,
295,eng,"I can't think with that noise, she said, as she stared at the typewriter.",4.2,
296,eng,"It is said that ""Hamlet"" is the most interesting play ever written.",3.8,
297,eng,May I ask a question?,2.5,
298,eng,How do you feel? he inquired.,2.4,
299,eng,It's quite difficult to master French in 2 or 3 years.,2.2,
300,eng,It's impossible for me to explain it to you.,2.1,
301,eng,I don't want to spend the rest of my life regretting it.,2.3,
302,eng,It would be fun to see how things change over the years.,2.4,
303,eng,I would never have guessed that.,1.9,
304,eng,Imagination affects every aspect of our lives.,4.3,
305,eng,You'll forget about me someday.,1.3,
306,eng,That is rather unexpected.,3.4,
307,eng,I wonder how long it's going to take.,2.8,
308,eng,I can't live without a TV.,1.8,
309,eng,I couldn't have done it without you. Thank you.,2.3,
310,eng,Nothing is achieved without effort.,4.4,
311,eng,Many people drift through life without a purpose.,4.4,
312,eng,Life without love is just totally pointless.,1.9,
313,eng,Let me know if I need to make any changes.,2.6,
314,eng,I think exams are ruining education.,3.4,
315,eng,We can't sleep because of the noise.,3.7,
316,eng,Do you have a condom?,3.3,
317,eng,Do whatever he tells you.,4.5,
318,eng,I can walk to school in 10 minutes.,4.9,
319,eng,It took me more than two hours to translate a few pages of English.,2.4,
320,eng,It is already eleven.,4.6,
321,eng,May I talk to Ms. Brown?,2.6,
322,eng,"Yes, orange juice please, says Mike.",3.7,
323,eng,Ah! is an interjection.,4.3,
324,eng,What do you want?,2.6,
325,eng,The mandatory character of schooling is rarely analyzed in the multitude of works dedicated to the study of the various ways to develop within children the desire to learn.,3.4,
326,eng,You suck dude! I have to tell you everything!,3.6,
327,eng,I have a bone to pick with you.,4.1,
328,eng,Do you need me to give you some money?,2.7,
329,eng,Paris is the most beautiful city in the world.,4.5,
330,eng,"Hey, I may have no money, but I still have my pride.",4.7,
331,eng,I have a dream.,5,
332,eng,This is my friend Rachel. We went to high school together.,4.3,
333,eng,The cost of life increased drastically.,4.8,
334,eng,"All that which is invented, is true.",4.8,
335,eng,"To be surprised, to wonder, is to begin to understand.",4.7,
336,eng,But the universe is infinite.,3.4,
337,eng,To be perfect she lacked just one defect.,3.4,
338,eng,"And yet, the contrary is always true as well.",4.4,
339,eng,"We don't see things as they are, but as we are.",4.6,
340,eng,The world is a den of crazies.,4.6,
341,eng,You opened up my eyes to what it's like when everything is right.,4.1,
342,eng,You found me where no one else was looking.,4.1,
343,eng,You're by my side; everything's fine now.,4.3,
344,eng,What do you mean you don't know?!,2.7,
345,eng,You look stupid.,5,
346,eng,I think I'm gonna go to sleep.,3.4,
347,eng,My name is Jack.,5,
348,eng,I like it very much.,5,
349,eng,We're meeting up tomorrow?,4.8,
350,eng,How do you say that in Italian?,2.7,
351,eng,I have to go shopping. I'll be back in an hour.,4.1,
352,eng,Is it far from here?,2.8,
353,eng,These things aren't mine!,4.8,
354,eng,"Thanks, that's all.",3.8,
355,eng,Would you like to dance with me?,3.3,
356,eng,Italy is a very beautiful country.,4.8,
357,eng,It's not my fault!,5,
358,eng,I'd like to stay for one night.,3.9,
359,eng,Could you dial for me? The telephone is too high.,2.6,
360,eng,Is there a youth hostel near here?,2.8,
361,eng,Where are the showers?,2.8,
362,eng,Open your mouth!,4.7,
363,eng,Is it bad?,2.8,
364,eng,I have lost my wallet.,4.9,
365,eng,Love is never wasted.,5,
366,eng,Life is what happens to you while you're busy making other plans.,4.2,
367,eng,Not wanting is the same as having.,4.6,
368,eng,He's very sexy.,5,
369,eng,"Pass me the salt, please.",3.2,
370,eng,There are too many things to do!,1.8,
371,eng,"Come on, play with me, I'm so bored!",2.1,
372,eng,Don't you even think of eating my chocolate!,4.2,
373,eng,Stop asking me for a drink! Go get it yourself.,4.2,
374,eng,Thanks to you I've lost my appetite.,4.3,
375,eng,I really need to hit somebody.,4.5,
376,eng,Who doesn't know this problem?!,2.8,
377,eng,It has been so long since I last went to Disneyland with my family.,4,
378,eng,My parents keep arguing about stupid things. It's so annoying!,4.6,
379,eng,"If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.",4.4,
380,eng,"My friends always say I'm too calm, but my family always says I'm too annoying.",2,
381,eng,I hate those spiders. They're always there to freak me out when I'm cleaning.,3.9,
382,eng,So annoying... Now I get a headache whenever I use the computer!,2.5,
383,eng,It's so hot that you could cook an egg on the hood of a car.,4.8,
384,eng,It is very hot today.,5,
385,eng,Nobody came.,5,
386,eng,I never saw a red fridge.,5,
387,eng,Better to be hated for who you are than loved for who you're not.,4.8,
388,eng,It's lonely in the saddle since the horse died.,3.7,
389,eng,Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,4.1,
390,eng,My eyes are an ocean in which my dreams are reflected.,4,
391,eng,"You know the phrase, we reap what we sow. I have sown the wind and this is my storm.",4.3,
392,eng,Look at me when I talk to you!,4.7,
393,eng,What would the world be without women?,2.8,
394,eng,What if you gave a speech and nobody came?,2.3,
395,eng,I don't know what to say to make you feel better.,2.4,
396,eng,This is not my type.,4.7,
397,eng,I was trying to kill time.,4.7,
398,eng,How did you come up with this crazy idea?,2.7,
399,eng,I'm tired.,2.7,
400,eng,Who wants some hot chocolate?,2.8,
401,eng,"Speak more slowly, please!",2.6,
402,eng,When do we arrive?,2.7,
403,eng,"The check, please.",3.6,
404,eng,And what are we going to do?,2.8,
405,eng,I have a headache.,3.4,
406,eng,Where can one make a phone call?,2.9,
407,eng,I must admit that I snore.,2.7,
408,eng,Tonight we're going to church.,4.5,
409,eng,How are you? Did you have a good trip?,2.8,
410,eng,I don't feel well.,4.8,
411,eng,Call the police!,5,
412,eng,It's too expensive!,2.1,
413,eng,She's faking sleep. That's why she's not snoring.,5,
414,eng,My shoes are too small. I need new ones.,4.9,
415,eng,We're getting out of here. The cops are coming.,4.8,
416,eng,Merry Christmas!,3.9,
417,eng,It would be so cool if I could speak ten languages!,4.1,
418,eng,"If you're tired, why don't you go to sleep?",2.8,
419,eng,You should have listened to me.,4.2,
420,eng,"It's a complete mess, and it's getting on my nerves.",4.3,
421,eng,"When the body is touched, receptors in the skin send messages to the brain causing the release of chemicals such as endorphins.",4.5,
422,eng,What does it involve?,2.9,
423,eng,One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.,4.7,
424,eng,Those selected will have to face extensive medical and psychological tests.,4.9,
425,eng,Half a million children still face malnutrition in Niger.,4.6,
426,eng,It will take five to ten years for the technology to be ready.,3.4,
427,eng,Bicycles are tools for urban sustainability.,4.8,
428,eng,The French government has launched an online game that challenges taxpayers to balance the national budget.,4.1,
429,eng,He would be glad to hear that.,4.6,
430,eng,What do you believe is true even though you cannot prove it?,2.6,
431,eng,Computers make people stupid.,5,
432,eng,Don't ask what they think. Ask what they do.,5,
433,eng,"When you're trying to prove something, it helps to know it's true.",3.9,
434,eng,"What changes the world is communication, not information.",4.9,
435,eng,Most scientific breakthroughs are nothing else than the discovery of the obvious.,4.7,
436,eng,"If you don't understand something, it's because you aren't aware of its context.",4.8,
437,eng,"The past can only be known, not changed. The future can only be changed, not known.",4.8,
438,eng,The key question is not what can I gain but what do I have to lose.,2.6,
439,eng,Anything that can be misunderstood will be.,5,
440,eng,Any universe simple enough to be understood is too simple to produce a mind able to understand it.,4.7,
441,eng,Why is life so full of suffering?,2.4,
442,eng,"Despite the importance of sleep, its purpose is a mystery.",3.8,
443,eng,What does it mean to have an educated mind in the 21st century?,2.8,
444,eng,Passion creates suffering.,5,
445,eng,The train from Geneva will arrive at the station.,5,
446,eng,I would like to give him a present for his birthday.,3.7,
447,eng,I'm starving!,4.3,
448,eng,Do you have friends in Antigua?,2.7,
449,eng,A cubic meter corresponds to 1000 liters.,5,
450,eng,I have so much work that I will stay for one more hour.,4.1,
451,eng,I am married and have two children.,5,
452,eng,He plays the piano very well.,4.7,
453,eng,I see it rarely.,4.3,
454,eng,I'd like to study in Paris.,3.9,
455,eng,You don't know who I am.,4.8,
456,eng,Why don't you eat vegetables?,2.8,
457,eng,Why do people go to the movies?,2.8,
458,eng,I'm undressing.,5,
459,eng,The car crashed into the wall.,5,
460,eng,There are no real visions.,5,
461,eng,"There's no point saying ""Hi, how are you?"" to me if you have nothing else to say.",4.5,
462,eng,"In a dictionary like this one there should be at least two sentences with ""fridge"".",4.7,
463,eng,Creationism is a pseudo-science.,5,
464,eng,The wind calmed down.,4.8,
465,eng,I don't want to propose to you!,4.8,
466,eng,Give me time to give you everything I have!,2.3,
467,eng,A democrat is a free citizen who yields to the will of the majority.,4.8,
468,eng,"Where there's a will, there's a way.",4.9,
469,eng,"Who searches, finds.",4.3,
470,eng,Rome wasn't built in a day.,4.8,
471,eng,Silence gives consent.,5,rizzstraining order
472,eng,Have you finished?,2.7,
473,eng,Good morning,4,
474,eng,"Why does one say ""Good day"" when the day is not good?",2.5,
475,eng,Wine is poetry in bottles.,4.3,
476,eng,That was the best day of my life.,5,
477,eng,I don't understand German.,2.3,
478,eng,I made my decision.,5,
479,eng,I give you my word.,5,
480,eng,You are the great love of my life.,5,
481,eng,Being objective means not telling everybody whose side you are on.,4.7,
482,eng,We have a Pope.,5,
483,eng,The whole is greater than the sum of the parts.,4.9,
484,eng,A mathematical truth is neither simple nor complicated; it is.,4.8,
485,eng,"Mathematicians are poets, except that they have to prove what their fantasy creates.",4.3,
486,eng,Mathematicians are like French people: whatever you tell them they translate it into their own language and turn it into something totally different.,4.3,
487,eng,"An expert is someone who knows some of the worst mistakes that can be made in his field, and how to avoid them.",4.9,
488,eng,Doing math is the only socially acceptable way to masturbate in public.,4.9,
489,eng,"There are 10 types of people in the world: those who understand binary, and those who don't.",4.5,
490,eng,"I don't think, therefore I am not.",3.7,
491,eng,"Nowadays we want our children to make their own decisions, but we expect those decisions to please us.",4.3,
492,eng,"Don't worry, be happy!",4.9,
493,eng,I find foreign languages very interesting.,4.5,
494,eng,I don't like learning irregular verbs.,4.1,
495,eng,Take a book and read it.,4.7,
496,eng,Face life with a smile!,5,
497,eng,"Most schools were designed not to transform society, but to reproduce it.",4.6,
498,eng,You make me dream.,4.5,
499,eng,I'm beside myself with joy.,3.6,
500,eng,He's already a man.,3.5,
501,eng,The vacation is over now.,3.5,
502,eng,I'm afraid to fall.,1.4,
503,eng,Evening dress is desired.,3.9,
504,eng,That's the absolute truth.,5,
505,eng,It's cold.,3.5,
506,eng,I'm thirsty.,3.5,
507,eng,"When I ask people what they regret most about high school, they nearly all say the same thing: that they wasted so much time.",3.4,
508,eng,"When you can't do what you want, you do what you can.",3.8,
509,eng,Give him an inch and he'll take a yard.,3.9,
510,eng,You did this intentionally!,4.6,
511,eng,You didn't tell him anything?,2.2,
512,eng,You made me lose my mind.,4,
513,eng,You're my type.,4.2,
514,eng,You're irresistible.,4.1,
515,eng,"Could you call again later, please?",2.1,
516,eng,Who am I talking with?,2.4,
517,eng,"I accept, but only under one condition.",3.5,
518,eng,"Smile now, cry later!",4.4,
519,eng,At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.,3.8,
520,eng,Life is beautiful.,3.7,
521,eng,There are days where I feel like my brain wants to abandon me.,2.1,
522,eng,I can't cut my nails and do the ironing at the same time!,4.8,
523,eng,I can't take it anymore! I haven't slept for three days!,4.8,
524,eng,He doesn't want you to tell him about your sex life.,3.4,
525,eng,Have you ever eaten a banana pie?,2,
526,eng,Why would you marry a woman if you like men?,2.1,
527,eng,"If you can't have children, you could always adopt.",3.3,
528,eng,Are you for or against abortions?,2.5,
529,eng,What made you change your mind?,2.3,
530,eng,"Hey, look, a three-headed monkey!",4.6,
531,eng,It's a pity that you can't buy miracles like you would buy potatoes.,3.5,
532,eng,I love lasagna.,4,
533,eng,"If you know that something unpleasant will happen, that you will go to the dentist for example, or to France, then that is not good.",3.9,
534,eng,"Half an eye is very useful actually, because an animal can see half of another animal, which wants to eat it, and can get out of the way, and it will eat the animal, which has only one-half eye or only 49% of an eye, because this to it will not be enough, and the animal, which was eaten up, will have no children, because it is dead.",3,
535,eng,"Prime numbers are like life; they are completely logical, but impossible to find the rules for, even if you spend all your time thinking about it.",4,
536,eng,"If you raise an eyebrow, it can mean ""I want to have sex with you"", but also ""I find that what you just said is completely idiotic.""",4.2,
537,eng,The brain is just a complicated machine.,3.6,
538,eng,"A schedule is an identity card for time, but, if you don't have a schedule, the time isn't there.",3.6,
539,eng,This baby penguin is too cute!,4,
540,eng,I'm at the hospital. I got struck by lightning.,3.5,
541,eng,"Let's face it, it's impossible. We're never gonna make it.",1,
542,eng,What is your greatest source of inspiration?,2.4,
543,eng,You don't marry someone you can live with — you marry the person whom you cannot live without.,5,
544,eng,"In theory, there is no difference between theory and practice. But, in practice, there is.",2.6,
545,eng,"Don't stay in bed, unless you can make money in bed.",4,
546,eng,"There are people in the world so hungry, that God cannot appear to them except in the form of bread.",4,
547,eng,Anything that is too stupid to be spoken is sung.,3.7,
548,eng,It requires wisdom to understand wisdom: the music is nothing if the audience is deaf.,3.9,
549,eng,I was rereading the letters you sent to me.,3.4,
550,eng,I don't want to go to school.,1.7,
551,eng,It's over between us. Give me back my ring!,5,
552,eng,It is raining.,3.3,
553,eng,"I was planning on going to the beach today, but then it started to rain.",2.7,
554,eng,"She's really smart, isn't she?",2.9,
555,eng,An opinion is shocking only if it is a conviction.,4,
556,eng,"People who love doubt nothing, or doubt everything.",4,
557,eng,Justice is expensive.,3.5,
558,eng,Liberty consists of being able to make everything as harmless as possible.,3.8,
559,eng,The slowest one to make a promise is the most faithful one in keeping it.,3.4,
560,eng,Every opinion is a mixture of truth and mistakes.,4.2,
561,eng,Life is a fatal sexually transmitted disease.,5,
562,eng,"If two men always have the same opinion, one of them is unnecessary.",3.5,
563,eng,Our opinion is an idea which we have; our conviction an idea which has us.,3.8,
564,eng,"Tomorrow, I'm going to study at the library.",3.6,
565,eng,Too late.,3.7,
566,eng,I went to the zoo yesterday.,3.3,
567,eng,We won the battle.,3.8,
568,eng,Hello? Are you still here?,2.6,
569,eng,I make lunch every day.,3.6,
570,eng,I watched TV this morning.,3.5,
571,eng,I read a book while eating.,3.5,
