Rank,OG_Index,Word,Score
317,21941,inconvenient,1.7
318,12936,human beings,1.7
319,22583,thyroidal,1.7
320,9124,phase,1.7
321,13788,t,1.7
322,26387,manhood,1.7
323,23016,metabolic process,1.7
324,7221,organism,1.7
325,13805,treasure state,1.7
326,9095,usual,1.7
327,13801,transuranic,1.7
328,9117,reduplicate,1.7
329,9101,petals,1.7
330,12941,humankind,1.7
331,21940,incommodiousness,1.7
332,19083,fuji cherry,1.7
333,20714,habitant,1.7
334,19093,fujiyama,1.7
335,19092,fujinoyama,1.7
336,21942,troublesomeness,1.7
337,9094,homologous,1.7
338,9090,double,1.7
339,9096,synapsis,1.7
340,20711,naturalized,1.7
341,26453,carefree,1.7
342,17643,farmland,1.7
343,9113,duplicate,1.7
344,3571,bridge,1.7
345,14215,intoxicant,1.7
346,19596,semitone,1.7
347,291,order,1.7
348,2416,diary,1.8
349,2336,interview,1.8
350,2474,fond,1.8
351,2046,keys,1.8
352,10863,sport,1.8
353,9089,render,1.8
354,9114,duplicates,1.8
355,16838,minds,1.8
356,26954,bridgework,1.8
357,22861,retroflex,1.8
358,13792,adenine,1.8
359,2481,duty,1.8
360,9121,stages,1.8
361,21891,haltingly,1.8
362,26958,bridge circuit,1.8
363,9632,squash,1.8
364,10803,fists,1.8
365,10802,fisticuffs,1.8
366,16960,adoring,1.8
367,22347,secretion,1.8
368,21127,buoy,1.8
369,26445,cavort,1.8
370,9112,safely,1.8
371,26448,frolic,1.8
372,26953,rests,1.8
373,6481,xx,1.8
374,9630,marrowbones,1.8
375,11247,unrecorded,1.8
376,116,loss,1.8
377,9098,crowded,1.8
378,9109,stunts,1.8
379,17642,plowed,1.8
380,19084,shrubby,1.8
381,13798,hormone,1.8
382,10804,pugilism,1.8
383,9108,chromosomes,1.8
384,9104,twobase,1.8
385,3466,greeting,1.8
386,16964,doting,1.8
387,26449,gambol,1.8
388,8631,match,1.8
389,14648,missive,1.8
390,16837,divinity,1.8
391,13790,pyrimidine,1.8
392,19593,tremor,1.8
393,14647,varsity letter,1.8
394,14718,twenty dollar bill,1.8
395,9103,resembles,1.8
396,7808,electronic,1.8
397,19592,charge up,1.8
398,515,pretending,1.9
399,705,pointless,1.9
400,2470,concerned,1.9
401,692,guessed,1.9
402,1090,inspiration,1.9
403,298,artist,1.9
404,299,knack,1.9
405,2323,history,1.9
406,17645,intact,1.9
407,26455,rollick,1.9
408,9106,stars,1.9
409,26959,bridge over,1.9
410,26951,nosepiece,1.9
411,14717,nineteen,1.9
412,9105,stakes,1.9
413,26443,sportsman,1.9
414,18032,consonant,1.9
415,26447,frisk,1.9
416,20943,rousing,1.9
417,26450,lark,1.9
418,8950,culpably,1.9
419,16834,breathing in,1.9
420,9099,arrangements,1.9
421,8949,implicated,1.9
422,26454,lark about,1.9
423,22344,hormones,1.9
424,16063,immunity,1.9
425,7108,detailed,1.9
426,19594,siding,1.9
427,9613,farmer,1.9
428,27255,divinity fudge,1.9
429,26952,bridle,1.9
430,27736,james leonard farmer,1.9
431,10911,creative person,1.9
432,13591,immobilized,1.9
433,16836,divine guidance,1.9
434,25203,unsusceptibility,1.9
435,9624,marrow,1.9
436,9893,chronicle,1.9
437,24759,vegetable marrow,1.9
438,9595,core,1.9
439,14737,follows,1.9
440,10313,concretion,1.9
441,13797,thyroxine,1.9
442,505,useless,1.9
443,9596,ferrite,1.9
444,15696,flap,1.9
445,16840,agitating,1.9
446,16833,brainchild,1.9
447,929,full,1.9
448,26451,songbirds,1.9
449,20781,postum,1.9
450,7161,planned,1.9
451,27734,cookbook,1.9
452,19598,waver,1.9
453,26957,steered,1.9
454,16155,subtropical,1.9
455,3556,regarded,1.9
456,7147,apprehend,1.9
457,7769,customary,1.9
458,9634,fills,1.9
459,16062,privilege,1.9
460,4851,sections,1.9
461,7119,fix,1.9
462,16965,lovesome,1.9
463,15994,shortrange,1.9
464,7132,affected,1.9
465,7133,evident,1.9
466,22625,reefer,1.9
467,15990,nun,1.9
468,16962,indulgent,1.9
469,16961,adoration,1.9
470,16835,inhalation,1.9
471,16963,foolishly,1.9
472,11788,navigational,1.9
473,27732,fannie farmer,1.9
474,7107,comprehensive,1.9
475,21890,bumble,1.9
476,26444,sportswoman,1.9
477,7876,pause,1.9
478,21879,ball up,1.9
479,2906,unexpectedly,1.9
480,26956,bridge deck,1.9
481,7130,fastens,1.9
482,18594,scoreless,1.9
483,7781,dim,1.9
484,13587,prohibit,1.9
485,9615,toroid,1.9
486,22862,palate,1.9
487,26446,disport,1.9
488,2140,frightened,2.0
489,2311,folder,2.0
490,2289,zero,2.0
491,1049,banana,2.0
492,2288,freezes,2.0
493,2342,favour,2.0
494,2254,cell,2.0
495,1258,disdained,2.0
496,2291,celsius,2.0
497,1050,pie,2.0
498,283,explained,2.0
499,17639,data file,2.0
500,15987,jail cell,2.0
501,7111,observing,2.0
502,22627,articulatio,2.0
503,11784,ordinary,2.0
504,21882,batted,2.0
505,21883,bodge,2.0
506,27730,husbandman,2.0
507,22626,spliff,2.0
508,16065,party favor,2.0
509,9616,gist,2.0
510,22345,secretions,2.0
511,2162,carefully,2.0
512,9607,passes,2.0
513,9621,kernel,2.0
514,6531,error,2.0
515,20945,spurring,2.0
516,4405,training,2.0
517,21880,bobble,2.0
518,7164,retain,2.0
519,7156,grasp,2.0
520,16652,shake,2.0
521,7138,motion,2.0
522,21126,conical buoy,2.0
523,18591,unpointed,2.0
524,25201,granting immunity,2.0
525,9617,heart and soul,2.0
526,7182,visual,2.0
527,7764,unclothed,2.0
528,22348,internal secretion,2.0
529,10318,lump,2.0
530,27222,motility,2.0
531,14332,unaffected,2.0
532,16154,musa,2.0
533,17635,ranged,2.0
534,15745,axial,2.0
535,15998,cellular telephone,2.0
536,9626,skins,2.0
537,9625,connective,2.0
538,19952,cadging,2.0
539,25375,tones,2.0
540,7141,burning,2.0
541,7962,assets,2.0
542,9602,fissile,2.0
543,7157,regain,2.0
544,9895,historical,2.0
545,7134,detect,2.0
546,21884,bollix,2.0
547,9628,fatty,2.0
548,13037,complement,2.0
549,18592,goalless,2.0
550,26452,streaky,2.0
551,7740,circulation,2.0
552,7675,strictly,2.0
553,26654,axile,2.0
554,7765,barely,2.0
555,7777,devoid,2.0
556,13589,immobilize,2.0
557,7144,chase,2.0
558,7873,calm down,2.0
559,27731,sodbuster,2.0
560,11244,protoindo european,2.0
561,10686,orbital,2.0
562,16921,walt,2.0
563,7399,fill,2.0
564,2095,save,2.0
565,23410,octave,2.0
566,26997,unpaired,2.0
567,7154,seizing,2.0
568,10315,kidneys,2.0
569,17370,save up,2.0
570,10332,gout,2.0
571,7197,relative,2.0
572,15695,leaflet,2.0
573,7150,catching,2.0
574,25374,musical octave,2.0
575,24068,diachronic,2.0
576,16067,party favour,2.0
577,3775,batter,2.0
578,16839,stirring,2.0
579,7145,communicated,2.0
580,18345,owing,2.0
581,17373,hold open,2.0
582,27735,fannie merritt farmer,2.0
583,15989,cubicle,2.0
584,13278,simulation,2.0
585,7124,delay,2.0
586,7120,locks,2.0
587,25671,keel,2.0
588,16152,banana tree,2.0
589,14333,remains,2.0
590,7122,checks,2.0
591,7869,steadiness,2.0
592,2781,regularly,2.0
593,1729,caught,2.0
594,7870,equanimity,2.0
595,27733,editions,2.0
596,26325,out of the blue,2.0
597,10329,incrustation,2.0
598,19953,wheedling,2.0
599,27228,observant,2.0
600,7772,uninhabited,2.0
601,11783,cipher,2.0
602,9623,nut,2.0
603,16914,whirling,2.0
604,9618,inwardness,2.0
605,8139,iron,2.0
606,7680,deservingness,2.0
607,21886,bollocks,2.0
608,23858,ocular,2.0
609,17372,vouchers,2.0
610,7691,trait,2.0
611,7690,reckless,2.0
612,18593,hitless,2.0
613,9633,nutritious,2.0
614,23634,goad,2.0
615,13277,feigning,2.0
616,7881,tranquilize,2.0
617,24747,grooming,2.0
618,18934,terrified,2.0
619,7114,statistical,2.0
620,21887,bollocks up,2.0
621,4717,post,2.0
622,15697,pamphlet,2.0
623,18933,panicky,2.0
624,16763,groceries,2.0
625,9620,preoccupation,2.0
626,15999,mobile phone,2.0
627,27125,congeneric,2.0
628,7168,hoax,2.0
629,21885,bollix up,2.0
630,9894,chronological,2.0
631,53,you,2.0
632,11795,naught,2.0
633,13595,lyrical,2.0
634,19110,charred,2.0
635,6948,accidentally,2.0
636,16064,reserved,2.0
637,23808,pronoun,2.0
638,7169,willingness,2.0
639,7875,lull,2.0
640,7193,exemplifying,2.0
641,20779,c w post,2.0
642,9598,cylindrical,2.0
643,9611,reactor,2.0
644,7135,entangled,2.0
645,14335,vary,2.0
646,7669,cancel,2.0
647,311,exactly,2.1
648,2465,raw,2.1
649,2466,oysters,2.1
650,1214,constant,2.1
651,543,heights,2.1
652,1954,tonelli,2.1
653,2094,horizon,2.1
654,2111,serenity,2.1
655,1957,calculus,2.1
656,1955,fubini,2.1
657,401,silly,2.1
658,598,spell,2.1
659,2110,boredom,2.1
660,1906,bleak,2.1
661,1905,friendship,2.1
662,1904,view,2.1
663,1953,cavalieri,2.1
664,7160,misstep,2.1
665,17374,keep open,2.1
666,20808,chamfer,2.1
667,6482,muero,2.1
668,7454,temporarily,2.1
669,11793,goose egg,2.1
670,16000,cadre,2.1
671,17637,file cabinet,2.1
672,26530,aforethought,2.1
673,23636,prodding,2.1
674,15694,booklet,2.1
675,7186,consecutive,2.1
676,7681,entitlement,2.1
677,15993,cellphone,2.1
678,11787,zero in,2.1
679,17636,single file,2.1
680,7789,beam,2.1
681,10316,organs,2.1
682,7692,inhibition,2.1
683,12708,radical,2.1
684,10209,apparent horizon,2.1
685,6902,anatomy,2.1
686,12517,ionic,2.1
687,20004,variety meat,2.1
688,22346,bloodstream,2.1
689,154,else,2.1
690,9601,superseded,2.1
691,23752,prohibiting,2.1
692,13588,defenseless,2.1
693,7159,trapping,2.1
694,24758,marrow squash,2.1
695,7117,catch,2.1
696,14334,constant quantity,2.1
697,16916,emptyheaded,2.1
698,7763,modifications,2.1
699,16153,treelike,2.1
700,27523,letup,2.1
701,19474,arcdegree,2.1
702,26992,ultra,2.1
703,19961,multicellular,2.1
704,14106,bareassed,2.1
705,24760,bone marrow,2.1
706,23995,backstop,2.1
707,13594,freezing,2.1
708,16066,gift,2.1
709,11790,automatic,2.1
710,13279,imitating,2.1
711,7167,environs,2.1
712,21747,sequent,2.1
713,10213,purview,2.1
714,16913,dizzy,2.1
715,7176,obtain,2.1
716,9609,nuclear,2.1
717,7118,receipt,2.1
718,22624,marijuana cigarette,2.1
719,22343,endocrine,2.1
720,7112,descriptive,2.1
721,27729,granger,2.1
722,17640,file away,2.1
723,7170,commercial,2.1
724,7667,intractably,2.1
725,12084,on the dot,2.1
726,21745,backtoback,2.1
727,15988,prison cell,2.1
728,7867,calmness,2.1
729,15995,radiotelephone,2.1
730,21746,sequentially,2.1
731,7129,prevent,2.1
732,7760,ornamentation,2.1
733,7694,lascivious,2.1
734,11794,nada,2.1
735,7666,intensity,2.1
736,21953,excitability,2.1
737,21128,nun buoy,2.1
738,7785,lusterless,2.1
739,21889,botch up,2.1
740,11840,huitre,2.1
741,13590,stop dead,2.1
742,23071,defenceless,2.1
743,11786,nought,2.1
744,12079,disinfecting,2.1
745,7880,quieter,2.1
746,19118,fair sex,2.1
747,14105,bareass,2.1
748,22264,make full,2.1
749,12076,ditches,2.1
750,7761,magnitude,2.1
751,19115,cleaning lady,2.1
752,18344,tedium,2.1
753,7140,catcher,2.1
754,18425,unsaid,2.1
755,10210,sensible horizon,2.1
756,25673,beams,2.1
757,17638,filing cabinet,2.1
758,11791,zero point,2.1
759,14107,in the altogether,2.1
760,7879,quieten,2.1
761,22265,conform to,2.1
762,18929,panicstricken,2.1
763,18931,panicstruck,2.1
764,23073,defencelessly,2.1
765,13582,freeze down,2.1
766,13643,friendly relationship,2.1
767,7674,sth,2.1
768,21888,botch,2.1
769,7121,succeed,2.1
770,12964,whist,2.1
771,23805,automatic rifle,2.1
772,9851,viva,2.1
773,7775,stark,2.1
774,12516,locomotive,2.1
775,23168,circulatory,2.1
776,16918,lightheaded,2.1
777,16917,featherbrained,2.1
778,10330,tophus,2.1
779,23804,robotlike,2.1
780,19476,academic degree,2.1
781,25202,exempting,2.1
782,17217,magic spell,2.1
783,22217,burning at the stake,2.1
784,15991,electric cell,2.1
785,141,instead,2.1
786,23409,musical scale,2.1
787,7670,give up,2.1
788,23655,unuttered,2.1
789,12512,resists,2.1
790,18932,panicked,2.1
791,23802,machinelike,2.1
792,20809,go after,2.1
793,16094,anders celsius,2.1
794,24288,avoided,2.1
795,23412,graduated table,2.1
796,7291,beaded,2.1
797,7128,apprehending,2.1
798,7127,snaring,2.1
799,7770,barren,2.1
800,27122,congenator,2.1
801,7689,unconstraint,2.1
802,7177,sponge,2.1
803,20782,manufacturer,2.1
804,11792,aught,2.1
805,7195,determined,2.1
806,7693,wantonness,2.1
807,13584,suspend,2.1
808,7115,inspect,2.1
809,17220,incantation,2.1
810,7871,calm air,2.1
811,17222,relieved,2.1
812,10212,visible horizon,2.1
813,19116,cleaning woman,2.1
814,19475,arcs,2.1
815,24748,by chance,2.1
816,24163,rigorously,2.1
817,27221,gesticulate,2.1
818,15997,cellular phone,2.1
819,22977,inhalant,2.1
820,27124,congener,2.1
821,19951,cadge,2.1
822,14104,unsanded,2.1
823,9604,choicest,2.1
824,16766,grocer,2.1
825,19964,fibrous,2.1
826,7759,contents,2.1
827,10319,infinitesimal calculus,2.1
828,19119,womanhood,2.1
829,13586,immobilise,2.1
830,12085,on the nose,2.1
831,16919,goofy,2.1
832,14103,birthday suit,2.1
833,13585,imposing,2.1
834,11785,cypher,2.1
835,14327,neverending,2.1
836,12513,implement,2.1
837,13583,freeze out,2.1
838,23167,blood stream,2.1
839,10314,ducts,2.1
840,9848,oral exam,2.1
841,7294,spherical,2.1
842,22496,msec,2.1
843,14330,invariant,2.1
844,7668,vacate,2.1
845,16915,giddy,2.1
846,10207,celestial horizon,2.1
847,23654,unspoken,2.1
848,7338,ashore,2.1
849,10321,tartar,2.1
850,17368,make unnecessary,2.1
851,13592,frost,2.1
852,7151,blunder,2.1
853,24229,embroiled,2.1
854,21881,juggling,2.1
855,2616,,2.1
856,2417,meat,2.1
857,17634,indian file,2.1
858,12822,sews,2.1
859,16096,thermometer,2.1
860,7192,look at,2.1
861,25403,eon,2.1
862,7131,fastener,2.1
863,23807,reflexive,2.1
864,24342,selfreferent,2.1
865,11246,prehistoric,2.1
866,7191,photographic,2.1
867,7155,prospect,2.1
868,26996,free radical,2.1
869,3006,friendly,2.1
870,25452,,2.1
871,18930,desperation,2.1
872,18343,ennui,2.1
873,15996,transmitterreceiver,2.1
874,23750,forbiddance,2.1
875,525,grades,2.2
876,140,nap,2.2
877,2032,daughters,2.2
878,2018,grocery,2.2
879,2057,expressed,2.2
880,10317,stonelike,2.2
881,10322,baking,2.2
882,7332,permanent,2.2
883,16911,airheaded,2.2
884,24680,undischarged,2.2
885,2071,self,2.2
886,9606,indispensable,2.2
887,24777,lustful,2.2
888,12722,purified,2.2
889,27883,alleviated,2.2
890,7289,molding,2.2
891,14329,unceasing,2.2
892,9852,viva voce,2.2
893,21748,sequential,2.2
894,7688,forsake,2.2
895,24749,circumstantially,2.2
896,16920,cartoon,2.2
897,19957,mooch,2.2
898,18347,dullness,2.2
899,7684,desolate,2.2
900,16142,more often than not,2.2
901,7762,protective,2.2
902,7319,relinquishment,2.2
903,23411,weighing machine,2.2
904,22708,locomotor,2.2
905,19963,primitive,2.2
906,12965,catch a wink,2.2
907,6478,literal,2.2
908,16764,grocery store,2.2
909,7175,shelter,2.2
910,23653,unexpressed,2.2
911,21121,verifier,2.2
912,21966,gyration,2.2
913,9614,sample,2.2
914,12967,catnap,2.2
915,24889,accountant,2.2
916,7514,verbalised,2.2
917,19950,quick study,2.2
918,12963,flaky,2.2
919,9845,unwritten,2.2
920,23413,ordered series,2.2
921,14098,flannel,2.2
922,12599,grasping,2.2
923,7678,lurch,2.2
924,9619,attitudes,2.2
925,23367,transportable,2.2
926,7158,accurately,2.2
927,7109,surveillance,2.2
928,19967,poriferan,2.2
929,421,weight,2.2
930,17940,placidity,2.2
931,7882,administering,2.2
932,7659,wildness,2.2
933,7939,provoke,2.2
934,19966,sessile,2.2
935,23407,scurf,2.2
936,24891,scrutinize,2.2
937,7766,additions,2.2
938,23753,thereof,2.2
939,23806,machine rifle,2.2
940,23072,selfdefense,2.2
941,22636,perm,2.2
942,26994,rootstock,2.2
943,19297,helmet,2.2
944,12970,short sleep,2.2
945,9850,oral examination,2.2
946,12968,forty winks,2.2
947,20249,cordage,2.2
948,10263,pound,2.2
949,25896,emptybellied,2.2
950,3233,empty,2.2
951,7190,percept,2.2
952,7153,drawback,2.2
953,7316,pouring,2.2
954,7758,bare,2.2
955,17221,tour,2.2
956,24776,libidinous,2.2
957,1919,series,2.2
958,12510,buff,2.2
959,7695,lewd,2.2
960,9610,chamber,2.2
961,2852,shame,2.2
962,7166,take in,2.2
963,23075,tax shelter,2.2
964,17369,lay aside,2.2
965,26977,serrated,2.2
966,17371,redeem,2.2
967,9849,conducted,2.2
968,7872,beaufort,2.2
969,14326,incessant,2.2
970,14325,uninterrupted,2.2
971,9853,orally,2.2
972,24888,cpa,2.2
973,19109,housework,2.2
974,24750,on a regular basis,2.2
975,7178,fold,2.2
976,6479,pedo,2.2
977,8235,fixture,2.2
978,1369,pilot,2.2
979,12081,incisively,2.2
980,16922,disney,2.2
981,20947,soulstirring,2.2
982,7334,horizontal,2.2
983,17191,comparatively,2.2
984,23875,themes,2.2
985,7180,unit,2.2
986,22076,despair,2.2
987,9442,collecting,2.2
988,14727,analgesic,2.2
989,7331,settled,2.2
990,23635,verbalization,2.2
991,19960,parazoan,2.2
992,12605,bobbed,2.2
993,19117,adult female,2.2
994,9847,buccal,2.2
995,1465,sense,2.2
996,12601,stare,2.2
997,17198,statistics,2.2
998,7113,review,2.2
999,8407,underpants,2.2
1000,12966,siesta,2.2
1001,20780,cereals,2.2
1002,7783,acuity,2.2
1003,9603,racial,2.2
1004,7782,headlights,2.2
1005,25849,walter elias disney,2.2
1006,7136,enamored,2.2
1007,7883,sedative,2.2
1008,26549,tranquillise,2.2
1009,6480,literalmente,2.2
1010,24890,scrutinise,2.2
1011,23879,reexamine,2.2
1012,24286,supervises,2.2
1013,18072,tickling,2.2
1014,7317,gun,2.2
1015,9608,leonard,2.2
1016,23268,burls,2.2
1017,7313,venting,2.2
1018,19114,charwoman,2.2
1019,23657,unverbalized,2.2
1020,11119,consoling,2.2
1021,7787,distinctness,2.2
1022,22081,cents,2.2
1023,16145,in the main,2.2
1024,17218,magical spell,2.2
1025,2801,agents,2.2
1026,19962,porous,2.2
1027,25848,donald,2.2
1028,17219,enchantment,2.2
1029,17992,alternatively,2.2
1030,23408,descale,2.2
1031,7183,subdivision,2.2
1032,12515,zone,2.2
1033,7339,settle,2.2
1034,12499,pilot film,2.2
1035,20946,goading,2.2
1036,7671,maintaining,2.2
1037,26998,root word,2.2
1038,23698,washrag,2.2
1039,10662,germanic,2.2
1040,19108,char,2.2
1041,19294,collapsing,2.2
1042,23803,robotic,2.2
1043,16762,food market,2.2
1044,22080,cypriot pound,2.2
1045,6484,jajajajajajaja,2.2
1046,13099,weighing,2.2
1047,7665,pleases,2.2
1048,6483,jajajajajajajaja,2.2
1049,12083,on the button,2.2
1050,19289,compensation,2.2
